"Product","Price","Link"
"Alienware 15 R3 AW15R3-7002SLV 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 8 GB Memory 256 GB PCIe SSD Windows 10 Home 64-Bit Gaming Laptop","$1,349.00 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G5DV9069&cm_re=alienware-_-34-863-828-_-Product"
"Alienware AW15R3-7001SLV 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop","$1,429.00 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G5UD0716&cm_re=alienware-_-1TS-000A-02095-_-Product"
"Dell Alienware AW3418HW Black 34"" WFHD 2560 x 1080 160Hz (overlocked) NVIDIA G-Sync Gaming Monitor, 300 cd/m², HDMI, DisplayPort, Height, Swivel, Tilt","$813.54 (8 Offers)","https://www.newegg.com/Product/Product.aspx?Item=N82E16824260568&cm_re=alienware-_-24-260-568-_-Product"
"Refurbished: Alienware 15 R2 4K UHD Touchscreen Gaming Laptop Intel Skylake Core i7-6700HQ 16GB DDR4 Memory 128GB SSD + 1TB HDD NVIDIA GeForce GTX 980M Klipsch Audio USB 3.0 Windows 10 Professional","$1,299.95","https://www.newegg.com/Product/Product.aspx?Item=9SIA4E96P82771&cm_re=alienware-_-9SIA4E96P82771-_-Product"
"Alienware AW2518HF 24.5"" FreeSync Gaming Monitor, 1920 x 1080, 240 Hz, 1ms Response Time, AlienFX, DisplayPort, HDMI, USB 3.0x4","$329.99 (16 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G63W7249&cm_re=alienware-_-24-260-316-_-Product"
"Alienware 15 R2 i7 4710HQ 2.5 Ghz 128gb SSD 1TB HD 16GB Ram Windows 7","$1,499.95","https://www.newegg.com/Product/Product.aspx?Item=9SIA4E956V2809&cm_re=alienware-_-9SIA4E956V2809-_-Product"
"Refurbished: Alienware 17 R3 i7 6820HK 4K GTX 980M 8GB DDR5 32GB RAM 256GB SSD 1TB HDD Win 7","$1,999.95","https://www.newegg.com/Product/Product.aspx?Item=9SIA4E956V2938&cm_re=alienware-_-9SIA4E956V2938-_-Product"
"Alienware AW2518H 25"" NVIDIA G-Sync Gaming Monitor, AlienFX, 1ms Response Time, 240hz Refresh Rate, DisplayPort, HDMI, 4 x USB 3.0","$499.99 (10 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA1CZ6X55846&cm_re=alienware-_-24-260-299-_-Product"
"Refurbished: Alienware 13 13.3"" i5 4210U 1.7Ghz 16GB RAM 1TB HDD GeForce GTX 860M Windows 7","$899.95","https://www.newegg.com/Product/Product.aspx?Item=9SIA4E95NP6913&cm_re=alienware-_-9SIA4E95NP6913-_-Product"
"Refurbished: Alienware Alpha Intel Core i7-6700T X4 3.2GHz 16GB 256GB SSD Win10, Black","$856.05","https://www.newegg.com/Product/Product.aspx?Item=9SIA9SK6BB3133&cm_re=alienware-_-9SIA9SK6BB3133-_-Product"
"Alienware 17 R4 AW17R4-7003SLV 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 8 GB Memory 256 GB PCIe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop","$1,549.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G6S28288&cm_re=alienware-_-34-861-157-_-Product"
"Alienware 17 R4 AW17R4-7002SLV 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 8 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop","$1,469.00","https://www.newegg.com/Product/Product.aspx?Item=9SIA24G6S28266&cm_re=alienware-_-9SIA24G6S28266-_-Product"
